src_ip,dst_ip,src_port,dst_port,protocol,protocol_name,packet_count,total_bytes,flow_duration,packet_rate,byte_rate,avg_pkt_size,std_pkt_size,min_pkt_size,max_pkt_size,avg_iat,std_iat,burstiness,entropy,is_outbound,suspicious_port,start_time,end_time,label,attack_type
192.168.248.8,240.134.86.170,57916,5432,6,TCP,15,116834,9.134821616501734,1.6420681902428207,12789.959662588648,7788.933333333333,103.36605653512831,40.0,1500.0,0.6089881077667822,1.817961158517793,0.5028267364325306,5.611823532966156,1,0,1701750555.7489114,1701052522.6841352,benign,benign
192.168.84.27,195.64.25.153,65160,443,6,TCP,46183,19296225,475.7109094764579,97.08207039192469,40562.92301817588,417.8209514323452,428.24783824355535,40.0,1500.0,0.010300563182912715,0.000543409241682889,0.6703804559896416,7.980639848534613,1,1,1700835776.0130234,1701591455.471139,exfiltration,https_upload
192.168.57.18,191.169.5.129,52560,53,17,UDP,35,1624,20.171803478011945,1.7350952302381575,80.50841868305051,46.4,18.07423043348515,60.0,512.0,0.5763372422289127,0.31503844153049737,3.919168678014278,7.877168836906959,1,1,1702011760.5611563,1702450617.51052,exfiltration,dns_tunneling
192.168.186.202,159.17.246.181,51597,25,6,TCP,270,147060,78.14148118602837,3.4552710788425105,1881.9709809428875,544.6666666666666,83.92149199704926,40.0,1500.0,0.28941289328158654,1.0949292518599385,1.074821191722809,6.221953743465386,0,0,1701592278.225084,1703145168.3747275,benign,benign
192.168.70.143,2.66.42.157,60115,22,6,TCP,6,94099,113.91084516455838,0.052672772213499544,826.0758654196824,15683.166666666666,117.48219583663354,40.0,1500.0,18.98514086075973,0.4081750088112796,0.2561298815600374,4.134434751104967,0,0,1701198791.3395667,1709990400.2844079,benign,benign
192.168.92.218,46.117.232.4,55313,53,17,UDP,41,1913,5.035792725316919,8.141717150882085,379.8806075521324,46.65853658536585,24.01610486194983,60.0,512.0,0.12282421281260779,0.21760491615617739,2.8891093965759884,7.889126841972487,1,1,1708103679.8091831,1706633895.7779398,exfiltration,dns_tunneling
192.168.209.198,235.72.94.126,50914,5432,6,TCP,138,169217,94.10651943296098,1.4664233767386072,1798.1432213157746,1226.2101449275362,58.29322657806794,40.0,1500.0,0.6819313002388476,0.9895364253474255,0.21180819069159162,4.274649696022845,1,0,1707950958.5529785,1705494725.7249203,benign,benign
192.168.17.112,71.216.218.82,52600,8080,6,TCP,435,119919,106.16628953998709,4.097345794835931,1129.539334186046,275.6758620689655,203.9104863248168,40.0,1500.0,0.24406043572410827,1.999353048465538,0.2834797735280274,4.050137755731096,0,0,1707010606.465197,1705269604.1004434,benign,benign
192.168.109.105,223.85.70.156,59621,25,6,TCP,497,79526,5.923803504670077,83.89879907532148,13424.820714816935,160.01207243460766,58.623914223698485,40.0,1500.0,0.011919121739778826,0.41997419635745853,0.7166884759417206,3.2284099133356716,0,0,1702468347.6237895,1701376631.9663942,benign,benign
192.168.167.72,187.176.207.231,63605,587,6,TCP,225,193370,14.262067000238453,15.776114359597255,13558.343260956983,859.4222222222222,123.92877319433836,40.0,1500.0,0.06338696444550423,1.294590457359059,0.6875220299333015,5.761997139541242,0,0,1701748189.4162471,1700290729.9891338,benign,benign
192.168.93.93,18.138.87.252,62086,80,6,TCP,491,31768,3.9687855297351367,123.71542788626516,8004.4637741158285,64.70061099796334,177.0569294625855,40.0,1500.0,0.008083066252006388,1.838568008731874,0.7764507442299369,4.5100619413148735,0,0,1707811205.2557213,1705486527.1507287,benign,benign
192.168.250.3,222.66.57.21,50658,31337,6,TCP,4818,4429463,520.4488274549846,9.257394283238588,8510.852107516987,919.357202158572,329.38491350561117,40.0,1500.0,0.1080217574626369,0.042135927494145034,2.3060979549985703,7.967615330338615,1,1,1703432934.6969264,1706856877.1479146,exfiltration,covert_high_entropy
192.168.112.161,223.184.24.88,49721,9001,6,TCP,870,1474697,641.3763808737633,1.3564578084630696,2299.269265249498,1695.0540229885057,52.68141577949619,40.0,1500.0,0.7372142308893831,0.09528765399026438,0.9828952291938563,7.968819872145053,1,1,1701444816.8639183,1701851732.5290427,exfiltration,covert_high_entropy
